Zip Code,Area,,
98530,"Bucoda, WA",,
99155,"Nespelem, WA",,
99163,"Pullman, WA",,
98547,"Grayland, WA",,
99129,"Fruitland, WA",,
99201,"Spokane, WA",,
99140,"Keller, WA",,
98266,"Maple Falls, WA",,
98587,"Taholah, WA",,
98952,"White Swan, WA",,
99118,"Curlew, WA",,
98350,"La Push, WA",,
98586,"South Bend, WA",,
99040,"Wellpinit, WA",,
98105,"Seattle, WA",,
99138,"Inchelium, WA",,
99157,"Northport, WA",,
98948,"Toppenish, WA",,
99202,"Spokane, WA",,
98901,"Yakima, WA",,
98938,"Outlook, WA",,
98673,"Wishram, WA",,
98402,"Tacoma, WA",,
98932,"Granger, WA",,
99207,"Spokane, WA",,
98840,"Okanogan, WA",,
98331,"Forks, WA",,
98336,"Glenoma, WA",,
98356,"Morton, WA",,
98951,"Wapato, WA",,
99004,"Cheney, WA",,
98418,"Tacoma, WA",,
98542,"Ethel, WA",,
99173,"Springdale, WA",,
98824,"George, WA",,
98225,"Bellingham, WA",,
98499,"Lakewood, WA",,
99124,"Elmer City, WA",,
99110,"Clayton, WA",,
98357,"Neah Bay, WA",,
98944,"Sunnyside, WA",,
98385,"South Prairie, WA",,
99341,"Lind, WA",,
99326,"Connell, WA",,
98104,"Seattle, WA",,
98108,"Seattle, WA",,
99336,"Kennewick, WA",,
98926,"Ellensburg, WA",,
99344,"Othello, WA",,
99160,"Orient, WA",,
,,,
,,,